,Date,NIFTY MEDIA
1245,2013-01-09,1824.55
1246,2013-01-10,1826.6
1247,2013-01-11,1819.4
1248,2013-01-14,1825.8
1249,2013-01-15,1837.75
1250,2013-01-16,1824.45
1251,2013-01-17,1787.55
1252,2013-01-18,1812.2
1253,2013-01-21,1798.2
1254,2013-01-22,1794.8
1255,2013-01-23,1793.1
1256,2013-01-24,1840.45
1257,2013-01-25,1791.95
1258,2013-01-28,1815.4
1259,2013-01-29,1824.4
1260,2013-01-30,1804.1
1261,2013-01-31,1790.55
1262,2013-02-01,1819.6
1263,2013-02-04,1842.25
1264,2013-02-05,1841.85
1265,2013-02-06,1840.3
1266,2013-02-07,1850.4
1267,2013-02-08,1815.45
1268,2013-02-11,1802.1
1269,2013-02-12,1802.75
1270,2013-02-13,1805.2
1271,2013-02-14,1776.75
1272,2013-02-15,1747.9
1273,2013-02-18,1735.4
1274,2013-02-19,1728.75
1275,2013-02-20,1746.55
1276,2013-02-21,1710.95
1277,2013-02-22,1679.25
1278,2013-02-25,1691.15
1279,2013-02-26,1678.15
1280,2013-02-27,1664.95
1281,2013-02-28,1697.95
1282,2013-03-01,1647.2
1283,2013-03-04,1671.15
1284,2013-03-05,1671.4
1285,2013-03-06,1684.9
1286,2013-03-07,1678.4
1287,2013-03-08,1701.2
1288,2013-03-11,1707.5
1289,2013-03-12,1698.1
1290,2013-03-13,1688.0
1291,2013-03-14,1648.3
1292,2013-03-15,1683.4
1293,2013-03-18,1679.55
1294,2013-03-19,1691.3
1295,2013-03-20,1648.8
1296,2013-03-21,1604.5
1297,2013-03-22,1572.25
1298,2013-03-25,1610.15
1299,2013-03-26,1610.3
1300,2013-03-28,1611.85
1301,2013-04-01,1647.3
1302,2013-04-02,1661.6
1303,2013-04-03,1671.25
1304,2013-04-04,1634.85
1305,2013-04-05,1607.8
1306,2013-04-08,1612.75
1307,2013-04-09,1592.75
1308,2013-04-10,1587.7
1309,2013-04-11,1601.8
1310,2013-04-12,1595.35
1311,2013-04-15,1591.85
1312,2013-04-16,1594.3
1313,2013-04-17,1591.55
1314,2013-04-18,1609.6
1315,2013-04-22,1641.4
1316,2013-04-23,1681.25
1317,2013-04-25,1662.0
1318,2013-04-26,1696.35
1319,2013-04-29,1680.45
1320,2013-04-30,1695.25
1321,2013-05-02,1715.6
1322,2013-05-03,1734.9
1323,2013-05-06,1735.45
1324,2013-05-07,1751.85
1325,2013-05-08,1754.7
1326,2013-05-09,1805.05
1327,2013-05-10,1783.65
1328,2013-05-11,1785.6
1329,2013-05-13,1795.95
1330,2013-05-14,1759.7
1331,2013-05-15,1797.05
1332,2013-05-16,1812.3
1333,2013-05-17,1798.7
1334,2013-05-20,1791.0
1335,2013-05-21,1780.2
1336,2013-05-22,1794.85
1337,2013-05-23,1758.6
1338,2013-05-24,1751.6
1339,2013-05-27,1738.4
1340,2013-05-28,1731.55
1341,2013-05-29,1732.9
1342,2013-05-30,1730.7
1343,2013-05-31,1734.0
1344,2013-06-03,1689.8
1345,2013-06-04,1729.7
1346,2013-06-05,1729.65
1347,2013-06-06,1705.55
1348,2013-06-07,1717.95
1349,2013-06-10,1700.15
1350,2013-06-11,1680.6
1351,2013-06-12,1645.0
1352,2013-06-13,1608.2
1353,2013-06-14,1588.3
1354,2013-06-17,1615.0
1355,2013-06-18,1630.05
1356,2013-06-19,1650.55
1357,2013-06-20,1651.7
1358,2013-06-21,1627.35
1359,2013-06-24,1651.65
1360,2013-06-25,1619.7
1361,2013-06-26,1596.85
1362,2013-06-27,1613.7
1363,2013-06-28,1640.75
1364,2013-07-01,1656.5
1365,2013-07-02,1710.25
1366,2013-07-03,1664.75
1367,2013-07-04,1671.9
1368,2013-07-05,1688.65
1369,2013-07-08,1652.05
1370,2013-07-09,1683.1
1371,2013-07-10,1702.75
1372,2013-07-11,1673.4
1373,2013-07-12,1671.95
1374,2013-07-15,1675.15
1375,2013-07-16,1672.15
1376,2013-07-17,1675.5
1377,2013-07-18,1670.2
1378,2013-07-19,1701.3
1379,2013-07-22,1675.0
1380,2013-07-23,1699.4
1381,2013-07-24,1689.5
1382,2013-07-25,1674.15
1383,2013-07-26,1735.8
1384,2013-07-29,1678.0
1385,2013-07-30,1663.05
1386,2013-07-31,1614.1
1387,2013-08-01,1656.45
1388,2013-08-02,1633.55
1389,2013-08-05,1641.1
1390,2013-08-06,1664.75
1391,2013-08-07,1603.55
1392,2013-08-08,1586.75
1393,2013-08-12,1613.1
1394,2013-08-13,1623.2
1395,2013-08-14,1666.65
1396,2013-08-16,1679.75
1397,2013-08-19,1602.95
1398,2013-08-20,1586.5
1399,2013-08-21,1596.1
1400,2013-08-22,1548.05
1401,2013-08-23,1550.6
1402,2013-08-26,1542.35
1403,2013-08-27,1552.0
1404,2013-08-28,1514.8
1405,2013-08-29,1491.0
1406,2013-08-30,1522.0
1407,2013-09-02,1553.9
1408,2013-09-03,1584.25
1409,2013-09-04,1514.15
1410,2013-09-05,1517.2
1411,2013-09-06,1548.7
1412,2013-09-10,1537.8
1413,2013-09-11,1562.7
1414,2013-09-12,1561.85
1415,2013-09-13,1545.05
1416,2013-09-16,1583.25
1417,2013-09-17,1558.5
1418,2013-09-18,1561.95
1419,2013-09-19,1595.1
1420,2013-09-20,1587.2
1421,2013-09-23,1566.4
1422,2013-09-24,1565.2
1423,2013-09-25,1590.0
1424,2013-09-26,1636.05
1425,2013-09-27,1634.45
1426,2013-09-30,1607.3
1427,2013-10-01,1589.05
1428,2013-10-03,1609.6
1429,2013-10-04,1649.05
1430,2013-10-07,1659.85
1431,2013-10-08,1683.65
1432,2013-10-09,1640.3
1433,2013-10-10,1650.8
1434,2013-10-11,1655.65
1435,2013-10-14,1658.9
1436,2013-10-15,1655.05
1437,2013-10-17,1644.9
1438,2013-10-18,1673.85
1439,2013-10-21,1695.3
1440,2013-10-22,1751.35
1441,2013-10-23,1763.3
1442,2013-10-24,1754.35
1443,2013-10-25,1722.15
1444,2013-10-28,1743.1
1445,2013-10-29,1722.7
1446,2013-10-30,1739.9
1447,2013-10-31,1729.15
1448,2013-11-01,1752.2
1449,2013-11-03,1787.3
1450,2013-11-05,1793.85
1451,2013-11-06,1821.45
1452,2013-11-07,1789.95
1453,2013-11-08,1772.35
1454,2013-11-11,1737.85
1455,2013-11-12,1775.55
1456,2013-11-13,1753.5
1457,2013-11-14,1756.8
1458,2013-11-18,1761.95
1459,2013-11-19,1764.15
1460,2013-11-20,1757.1
1461,2013-11-21,1710.4
1462,2013-11-22,1680.1
1463,2013-11-25,1671.8
1464,2013-11-26,1681.2
1465,2013-11-27,1653.3
1466,2013-11-28,1654.05
1467,2013-11-29,1678.8
1468,2013-12-02,1694.2
1469,2013-12-03,1724.15
1470,2013-12-04,1739.35
1471,2013-12-05,1743.15
1472,2013-12-06,1698.95
1473,2013-12-09,1747.8
1474,2013-12-10,1766.9
1475,2013-12-11,1731.05
1476,2013-12-12,1754.25
1477,2013-12-13,1739.75
1478,2013-12-16,1736.15
1479,2013-12-17,1747.1
1480,2013-12-18,1758.4
1481,2013-12-19,1758.7
1482,2013-12-20,1758.45
1483,2013-12-23,1787.6
1484,2013-12-24,1774.95
1485,2013-12-26,1782.0
1486,2013-12-27,1793.55
1487,2013-12-30,1783.95
1488,2013-12-31,1780.1
1489,2014-01-01,1793.5
1490,2014-01-02,1796.35
1491,2014-01-03,1772.1
1492,2014-01-06,1789.5
1493,2014-01-07,1837.25
1494,2014-01-08,1821.95
1495,2014-01-09,1810.9
1496,2014-01-10,1825.45
1497,2014-01-13,1832.85
1498,2014-01-14,1841.1
1499,2014-01-15,1790.1
1500,2014-01-16,1785.8
1501,2014-01-17,1770.8
1502,2014-01-20,1761.9
1503,2014-01-21,1788.65
1504,2014-01-22,1777.2
1505,2014-01-23,1793.55
1506,2014-01-24,1780.35
1507,2014-01-27,1750.75
1508,2014-01-28,1697.2
1509,2014-01-29,1701.15
1510,2014-01-30,1663.75
1511,2014-01-31,1672.7
1512,2014-02-03,1699.3
1513,2014-02-04,1699.95
1514,2014-02-05,1716.8
1515,2014-02-06,1710.3
1516,2014-02-07,1717.35
1517,2014-02-10,1731.8
1518,2014-02-11,1723.45
1519,2014-02-12,1705.15
1520,2014-02-13,1697.2
1521,2014-02-14,1676.65
1522,2014-02-17,1664.8
1523,2014-02-18,1659.35
1524,2014-02-19,1677.85
1525,2014-02-20,1654.35
1526,2014-02-21,1678.2
1527,2014-02-24,1708.15
1528,2014-02-25,1686.25
1529,2014-02-26,1697.35
1530,2014-02-28,1701.15
1531,2014-03-03,1682.2
1532,2014-03-04,1704.15
1533,2014-03-05,1722.1
1534,2014-03-06,1736.3
1535,2014-03-07,1756.05
1536,2014-03-10,1769.45
1537,2014-03-11,1787.0
1538,2014-03-12,1778.6
1539,2014-03-13,1810.65
1540,2014-03-14,1773.25
1541,2014-03-18,1756.2
1542,2014-03-19,1801.2
1543,2014-03-20,1800.5
1544,2014-03-21,1812.3
1545,2014-03-22,1841.95
1546,2014-03-24,1834.7
1547,2014-03-25,1842.6
1548,2014-03-26,1850.85
1549,2014-03-27,1802.95
1550,2014-03-28,1790.75
1551,2014-03-31,1794.55
1552,2014-04-01,1814.5
1553,2014-04-02,1828.65
1554,2014-04-03,1859.95
1555,2014-04-04,1832.9
1556,2014-04-07,1827.85
1557,2014-04-09,1822.95
1558,2014-04-10,1822.8
1559,2014-04-11,1824.45
1560,2014-04-15,1812.35
1561,2014-04-16,1776.7
1562,2014-04-17,1762.15
1563,2014-04-21,1767.1
1564,2014-04-22,1773.9
1565,2014-04-23,1738.35
1566,2014-04-25,1765.0
1567,2014-04-28,1775.75
1568,2014-04-29,1779.05
1569,2014-04-30,1757.2
1570,2014-05-02,1739.1
1571,2014-05-05,1760.15
1572,2014-05-06,1744.25
1573,2014-05-07,1731.95
1574,2014-05-08,1724.2
1575,2014-05-09,1721.4
1576,2014-05-12,1733.7
1577,2014-05-13,1797.95
1578,2014-05-14,1797.85
1579,2014-05-15,1805.95
1580,2014-05-16,1784.35
1581,2014-05-19,1821.5
1582,2014-05-20,1827.25
1583,2014-05-21,1915.85
1584,2014-05-22,1941.1
1585,2014-05-23,1948.1
1586,2014-05-26,1940.8
1587,2014-05-27,1904.1
1588,2014-05-28,1919.6
1589,2014-05-29,1907.8
1590,2014-05-30,1935.1
1591,2014-06-02,1957.85
1592,2014-06-03,1993.35
1593,2014-06-04,1974.85
1594,2014-06-05,1993.7
1595,2014-06-06,2014.55
1596,2014-06-09,2036.85
1597,2014-06-10,2117.5
1598,2014-06-11,2089.05
1599,2014-06-12,2039.6
1600,2014-06-13,2016.25
1601,2014-06-16,1963.45
1602,2014-06-17,1965.15
1603,2014-06-18,1980.25
1604,2014-06-19,2016.65
1605,2014-06-20,2006.95
1606,2014-06-23,2030.0
1607,2014-06-24,2047.05
1608,2014-06-25,2038.6
1609,2014-06-26,2044.95
1610,2014-06-27,2091.35
1611,2014-06-30,2088.5
1612,2014-07-01,2118.15
1613,2014-07-02,2148.1
1614,2014-07-03,2140.35
1615,2014-07-04,2118.95
1616,2014-07-07,2136.95
1617,2014-07-08,2131.4
1618,2014-07-09,2054.85
1619,2014-07-10,2028.0
1620,2014-07-11,2045.35
1621,2014-07-14,2065.1
1622,2014-07-15,2043.9
1623,2014-07-16,2050.8
1624,2014-07-17,2087.9
1625,2014-07-18,2075.55
1626,2014-07-21,2074.5
1627,2014-07-22,2107.75
1628,2014-07-23,2101.85
1629,2014-07-24,2077.8
1630,2014-07-25,2062.55
1631,2014-07-28,2009.45
1632,2014-07-30,1975.5
1633,2014-07-31,2018.75
1634,2014-08-01,2007.4
1635,2014-08-04,1996.55
1636,2014-08-05,2014.2
1637,2014-08-06,1986.45
1638,2014-08-07,1965.95
1639,2014-08-08,1960.65
1640,2014-08-11,1936.2
1641,2014-08-12,1928.8
1642,2014-08-13,1921.5
1643,2014-08-14,1861.5
1644,2014-08-18,1886.75
1645,2014-08-19,1907.5
1646,2014-08-20,1923.3
1647,2014-08-21,1965.6
1648,2014-08-22,1961.45
1649,2014-08-25,1936.1
1650,2014-08-26,1913.85
1651,2014-08-27,1911.45
1652,2014-08-28,1903.6
1653,2014-09-01,1893.95
1654,2014-09-02,1925.0
1655,2014-09-03,1940.6
1656,2014-09-04,1938.05
1657,2014-09-05,1943.1
1658,2014-09-08,1947.05
1659,2014-09-09,1940.65
1660,2014-09-10,1934.65
1661,2014-09-11,1990.3
1662,2014-09-12,1953.35
1663,2014-09-15,1949.8
1664,2014-09-16,1980.0
1665,2014-09-17,1956.65
1666,2014-09-18,1946.0
1667,2014-09-19,2025.35
1668,2014-09-22,2034.3
1669,2014-09-23,2005.4
1670,2014-09-24,1975.05
1671,2014-09-25,1970.05
1672,2014-09-26,1963.7
1673,2014-09-29,1969.55
1674,2014-09-30,1986.0
1675,2014-10-01,2035.0
1676,2014-10-07,2011.7
1677,2014-10-08,1982.8
1678,2014-10-09,2000.55
1679,2014-10-10,2051.5
1680,2014-10-13,2025.8
1681,2014-10-14,2027.35
1682,2014-10-16,2021.05
1683,2014-10-17,2009.25
1684,2014-10-20,2057.75
1685,2014-10-21,2067.5
1686,2014-10-22,2102.0
1687,2014-10-23,2129.0
1688,2014-10-27,2126.05
1689,2014-10-28,2092.6
1690,2014-10-29,2113.55
1691,2014-10-30,2124.2
1692,2014-10-31,2141.4
1693,2014-11-03,2154.15
1694,2014-11-05,2187.2
1695,2014-11-07,2221.8
1696,2014-11-10,2270.55
1697,2014-11-11,2256.0
1698,2014-11-12,2274.45
1699,2014-11-13,2275.85
1700,2014-11-14,2258.05
1701,2014-11-17,2267.75
1702,2014-11-18,2308.9
1703,2014-11-19,2336.2
1704,2014-11-20,2332.8
1705,2014-11-21,2283.5
1706,2014-11-24,2307.95
1707,2014-11-25,2348.35
1708,2014-11-26,2328.55
1709,2014-11-27,2295.95
1710,2014-11-28,2295.95
1711,2014-12-01,2325.3
1712,2014-12-02,2310.65
1713,2014-12-03,2347.5
1714,2014-12-04,2366.45
1715,2014-12-05,2357.25
1716,2014-12-08,2366.05
1717,2014-12-09,2385.75
1718,2014-12-10,2321.7
1719,2014-12-11,2375.45
1720,2014-12-12,2369.75
1721,2014-12-15,2279.85
1722,2014-12-16,2303.1
1723,2014-12-17,2288.95
1724,2014-12-18,2295.8
1725,2014-12-19,2351.75
1726,2014-12-22,2324.8
1727,2014-12-23,2344.9
1728,2014-12-24,2351.25
1729,2014-12-26,2370.6
1730,2014-12-29,2356.35
1731,2014-12-30,2368.35
1732,2014-12-31,2368.4
1733,2015-01-01,2390.3
1734,2015-01-02,2380.5
1735,2015-01-05,2382.35
1736,2015-01-06,2360.5
1737,2015-01-07,2294.95
1738,2015-01-08,2289.15
1739,2015-01-09,2306.2
1740,2015-01-12,2278.6
1741,2015-01-13,2304.85
1742,2015-01-14,2298.85
1743,2015-01-15,2295.7
1744,2015-01-16,2318.4
1745,2015-01-19,2417.4
1746,2015-01-20,2402.45
1747,2015-01-21,2435.9
1748,2015-01-22,2400.15
1749,2015-01-23,2433.95
1750,2015-01-27,2398.0
1751,2015-01-28,2397.4
1752,2015-01-29,2400.95
1753,2015-01-30,2394.55
1754,2015-02-02,2356.55
1755,2015-02-03,2350.5
1756,2015-02-04,2360.7
1757,2015-02-05,2316.4
1758,2015-02-06,2295.4
1759,2015-02-09,2281.6
1760,2015-02-10,2254.65
1761,2015-02-11,2272.45
1762,2015-02-12,2271.65
1763,2015-02-13,2325.4
1764,2015-02-16,2350.25
1765,2015-02-18,2322.4
1766,2015-02-19,2330.55
1767,2015-02-20,2306.15
1768,2015-02-23,2317.55
1769,2015-02-24,2270.55
1770,2015-02-25,2298.45
1771,2015-02-26,2271.35
1772,2015-02-27,2248.45
1773,2015-02-28,2257.05
1774,2015-03-02,2240.2
1775,2015-03-03,2246.4
1776,2015-03-04,2272.75
1777,2015-03-05,2229.9
1778,2015-03-09,2229.25
1779,2015-03-10,2196.0
1780,2015-03-11,2219.85
1781,2015-03-12,2222.3
1782,2015-03-13,2263.7
1783,2015-03-16,2208.9
1784,2015-03-17,2235.45
1785,2015-03-18,2259.9
1786,2015-03-19,2288.7
1787,2015-03-20,2262.35
1788,2015-03-23,2228.95
1789,2015-03-24,2194.8
1790,2015-03-25,2202.35
1791,2015-03-26,2171.9
1792,2015-03-27,2161.6
1793,2015-03-30,2147.55
1794,2015-03-31,2188.95
1795,2015-04-01,2182.6
1796,2015-04-06,2202.0
1797,2015-04-07,2184.25
1798,2015-04-08,2171.4
1799,2015-04-09,2191.6
1800,2015-04-10,2251.8
1801,2015-04-13,2257.7
1802,2015-04-15,2241.75
1803,2015-04-16,2241.5
1804,2015-04-17,2207.45
1805,2015-04-20,2189.4
1806,2015-04-21,2133.9
1807,2015-04-22,2128.65
1808,2015-04-23,2135.75
1809,2015-04-24,2141.65
1810,2015-04-27,2098.45
1811,2015-04-28,2082.8
1812,2015-04-29,2079.35
1813,2015-04-30,2077.45
1814,2015-05-04,2060.3
1815,2015-05-05,2101.55
1816,2015-05-06,2070.4
1817,2015-05-07,2020.8
1818,2015-05-08,2040.5
1819,2015-05-11,2058.4
1820,2015-05-12,2088.25
1821,2015-05-13,2039.2
1822,2015-05-14,2012.85
1823,2015-05-15,2023.65
1824,2015-05-18,2009.3
1825,2015-05-19,2076.7
1826,2015-05-20,2095.6
1827,2015-05-21,2097.75
1828,2015-05-22,2097.65
1829,2015-05-25,2087.25
1830,2015-05-26,2089.45
1831,2015-05-27,2090.5
1832,2015-05-28,2110.95
1833,2015-05-29,2113.1
1834,2015-06-01,2101.9
1835,2015-06-02,2088.7
1836,2015-06-03,2099.05
1837,2015-06-04,2068.25
1838,2015-06-05,2089.05
1839,2015-06-08,2122.1
1840,2015-06-09,2074.75
1841,2015-06-10,2081.15
1842,2015-06-11,2100.95
1843,2015-06-12,2074.75
1844,2015-06-15,2081.3
1845,2015-06-16,2110.45
1846,2015-06-17,2150.0
1847,2015-06-18,2165.75
1848,2015-06-19,2177.9
1849,2015-06-22,2176.9
1850,2015-06-23,2173.05
1851,2015-06-24,2188.85
1852,2015-06-25,2190.55
1853,2015-06-26,2207.5
1854,2015-06-29,2151.5
1855,2015-06-30,2178.45
1856,2015-07-01,2242.65
1857,2015-07-02,2230.15
1858,2015-07-03,2260.5
1859,2015-07-06,2234.9
1860,2015-07-07,2292.5
1861,2015-07-08,2252.25
1862,2015-07-09,2225.65
1863,2015-07-10,2192.1
1864,2015-07-13,2231.05
1865,2015-07-14,2289.8
1866,2015-07-15,2306.95
1867,2015-07-16,2325.25
1868,2015-07-17,2347.85
1869,2015-07-20,2343.2
1870,2015-07-21,2365.1
1871,2015-07-22,2380.25
1872,2015-07-23,2438.55
1873,2015-07-24,2406.7
1874,2015-07-27,2385.4
1875,2015-07-28,2396.65
1876,2015-07-29,2383.15
1877,2015-07-30,2449.35
1878,2015-07-31,2436.25
1879,2015-08-03,2456.8
1880,2015-08-04,2495.0
1881,2015-08-05,2501.15
1882,2015-08-06,2524.4
1883,2015-08-07,2519.45
1884,2015-08-10,2491.95
1885,2015-08-11,2483.7
1886,2015-08-12,2489.7
1887,2015-08-13,2437.05
1888,2015-08-14,2423.15
1889,2015-08-17,2489.2
1890,2015-08-18,2476.1
1891,2015-08-19,2473.7
1892,2015-08-20,2467.05
1893,2015-08-21,2388.6
1894,2015-08-24,2268.95
1895,2015-08-25,2198.05
1896,2015-08-26,2186.75
1897,2015-08-27,2274.65
1898,2015-08-28,2320.55
1899,2015-08-31,2333.15
1900,2015-09-01,2311.0
1901,2015-09-02,2277.35
1902,2015-09-03,2270.15
1903,2015-09-04,2280.9
1904,2015-09-07,2245.45
1905,2015-09-08,2233.85
1906,2015-09-09,2295.5
1907,2015-09-10,2310.35
1908,2015-09-11,2347.4
1909,2015-09-14,2347.4
1910,2015-09-15,2359.2
1911,2015-09-16,2354.55
1912,2015-09-18,2374.35
1913,2015-09-21,2371.7
1914,2015-09-22,2404.45
1915,2015-09-23,2317.55
1916,2015-09-24,2360.45
1917,2015-09-28,2407.85
1918,2015-09-29,2315.3
1919,2015-09-30,2381.75
1920,2015-10-01,2390.3
1921,2015-10-05,2434.25
1922,2015-10-06,2441.35
1923,2015-10-07,2415.05
1924,2015-10-08,2413.25
1925,2015-10-09,2430.9
1926,2015-10-12,2423.3
1927,2015-10-13,2420.5
1928,2015-10-14,2408.65
1929,2015-10-15,2369.25
1930,2015-10-16,2477.55
1931,2015-10-19,2490.2
1932,2015-10-20,2533.8
1933,2015-10-21,2545.45
1934,2015-10-23,2569.1
1935,2015-10-26,2539.8
1936,2015-10-27,2477.75
1937,2015-10-28,2482.05
1938,2015-10-29,2470.9
1939,2015-10-30,2439.2
1940,2015-11-02,2420.5
1941,2015-11-03,2428.95
1942,2015-11-04,2426.3
1943,2015-11-05,2427.55
1944,2015-11-06,2386.4
1945,2015-11-09,2306.95
1946,2015-11-10,2303.4
1947,2015-11-11,2332.0
1948,2015-11-13,2315.05
1949,2015-11-16,2270.4
1950,2015-11-17,2300.4
1951,2015-11-18,2298.65
1952,2015-11-19,2290.45
1953,2015-11-20,2343.8
1954,2015-11-23,2360.4
1955,2015-11-24,2396.55
1956,2015-11-26,2367.15
1957,2015-11-27,2415.5
1958,2015-11-30,2423.15
1959,2015-12-01,2439.4
1960,2015-12-02,2480.6
1961,2015-12-03,2457.9
1962,2015-12-04,2446.4
1963,2015-12-07,2401.0
1964,2015-12-08,2396.65
1965,2015-12-09,2398.8
1966,2015-12-10,2366.65
1967,2015-12-11,2402.05
1968,2015-12-14,2379.7
1969,2015-12-15,2421.75
1970,2015-12-16,2448.55
1971,2015-12-17,2450.45
1972,2015-12-18,2491.95
1973,2015-12-21,2488.65
1974,2015-12-22,2525.35
1975,2015-12-23,2526.9
1976,2015-12-24,2532.75
1977,2015-12-28,2529.85
1978,2015-12-29,2538.25
1979,2015-12-30,2554.4
1980,2015-12-31,2603.45
1981,2016-01-01,2634.05
1982,2016-01-04,2618.65
1983,2016-01-05,2589.15
1984,2016-01-06,2594.4
1985,2016-01-07,2562.05
1986,2016-01-08,2542.55
1987,2016-01-11,2481.15
1988,2016-01-12,2515.75
1989,2016-01-13,2508.3
1990,2016-01-14,2482.8
1991,2016-01-15,2516.9
1992,2016-01-18,2393.45
1993,2016-01-19,2342.35
1994,2016-01-20,2335.2
1995,2016-01-21,2294.05
1996,2016-01-22,2322.5
1997,2016-01-25,2370.0
1998,2016-01-27,2365.2
1999,2016-01-28,2352.9
2000,2016-01-29,2394.7
2001,2016-02-01,2484.25
2002,2016-02-02,2453.6
2003,2016-02-03,2360.1
2004,2016-02-04,2397.55
2005,2016-02-05,2340.6
2006,2016-02-08,2374.3
2007,2016-02-09,2347.5
2008,2016-02-10,2311.0
2009,2016-02-11,2261.35
2010,2016-02-12,2179.15
2011,2016-02-15,2194.25
2012,2016-02-16,2264.4
2013,2016-02-17,2180.85
2014,2016-02-18,2215.8
2015,2016-02-19,2208.65
2016,2016-02-22,2253.35
2017,2016-02-23,2273.4
2018,2016-02-24,2233.45
2019,2016-02-25,2232.9
2020,2016-02-26,2214.9
2021,2016-02-29,2198.05
2022,2016-03-01,2181.95
2023,2016-03-02,2295.0
2024,2016-03-03,2334.8
2025,2016-03-04,2316.5
2026,2016-03-08,2317.85
2027,2016-03-09,2280.2
2028,2016-03-10,2327.3
2029,2016-03-11,2306.85
2030,2016-03-14,2333.15
2031,2016-03-15,2339.05
2032,2016-03-16,2277.65
2033,2016-03-17,2309.35
2034,2016-03-18,2310.2
2035,2016-03-21,2314.8
2036,2016-03-22,2324.5
2037,2016-03-23,2322.2
2038,2016-03-28,2334.6
2039,2016-03-29,2294.1
2040,2016-03-30,2292.5
2041,2016-03-31,2291.05
2042,2016-04-01,2312.1
2043,2016-04-04,2327.4
2044,2016-04-05,2349.3
2045,2016-04-06,2294.6
2046,2016-04-07,2321.9
2047,2016-04-08,2280.8
2048,2016-04-11,2295.1
2049,2016-04-12,2308.6
2050,2016-04-13,2374.1
2051,2016-04-18,2364.0
2052,2016-04-20,2404.65
2053,2016-04-21,2383.25
2054,2016-04-22,2368.0
2055,2016-04-25,2377.75
2056,2016-04-26,2369.45
2057,2016-04-27,2415.05
2058,2016-04-28,2406.4
2059,2016-04-29,2381.35
2060,2016-05-02,2420.25
2061,2016-05-03,2428.25
2062,2016-05-04,2432.2
2063,2016-05-05,2379.3
2064,2016-05-06,2362.3
2065,2016-05-09,2373.0
2066,2016-05-10,2439.45
2067,2016-05-11,2421.05
2068,2016-05-12,2541.5
2069,2016-05-13,2546.2
2070,2016-05-16,2573.2
2071,2016-05-17,2572.9
2072,2016-05-18,2570.75
2073,2016-05-19,2541.25
2074,2016-05-20,2487.8
2075,2016-05-23,2511.9
2076,2016-05-24,2479.65
2077,2016-05-25,2504.65
2078,2016-05-26,2496.7
2079,2016-05-27,2528.65
2080,2016-05-30,2557.95
2081,2016-05-31,2543.4
2082,2016-06-01,2544.75
2083,2016-06-02,2554.9
2084,2016-06-03,2576.6
2085,2016-06-06,2557.6
2086,2016-06-07,2550.55
2087,2016-06-08,2587.3
2088,2016-06-09,2591.55
2089,2016-06-10,2592.0
2090,2016-06-13,2567.75
2091,2016-06-14,2607.85
2092,2016-06-15,2602.1
2093,2016-06-16,2600.85
2094,2016-06-17,2591.55
2095,2016-06-20,2562.7
2096,2016-06-21,2591.85
2097,2016-06-22,2580.25
2098,2016-06-23,2577.1
2099,2016-06-24,2515.65
2100,2016-06-27,2514.3
2101,2016-06-28,2524.3
2102,2016-06-29,2553.55
2103,2016-06-30,2582.2
2104,2016-07-01,2645.25
2105,2016-07-04,2645.6
2106,2016-07-05,2660.9
2107,2016-07-07,2667.55
2108,2016-07-08,2651.7
2109,2016-07-11,2671.5
2110,2016-07-12,2652.55
2111,2016-07-13,2650.05
2112,2016-07-14,2604.45
2113,2016-07-15,2678.45
2114,2016-07-18,2670.9
2115,2016-07-19,2652.45
2116,2016-07-20,2660.5
2117,2016-07-21,2652.95
2118,2016-07-22,2649.25
2119,2016-07-25,2685.25
2120,2016-07-26,2727.05
2121,2016-07-27,2765.5
2122,2016-07-28,2751.9
2123,2016-07-29,2768.2
2124,2016-08-01,2810.35
2125,2016-08-02,2843.0
2126,2016-08-03,2815.5
2127,2016-08-04,2815.45
2128,2016-08-05,2788.35
2129,2016-08-08,2854.4
2130,2016-08-09,2830.1
2131,2016-08-10,2861.15
2132,2016-08-11,2845.55
2133,2016-08-12,2806.55
2134,2016-08-16,2797.35
2135,2016-08-17,2822.15
2136,2016-08-18,2833.25
2137,2016-08-19,2853.05
2138,2016-08-22,2829.4
2139,2016-08-23,2834.8
2140,2016-08-24,2866.3
2141,2016-08-25,2895.45
2142,2016-08-26,2863.5
2143,2016-08-29,2842.15
2144,2016-08-30,2932.25
2145,2016-08-31,2911.3
2146,2016-09-01,2981.05
2147,2016-09-02,2948.85
2148,2016-09-06,2945.7
2149,2016-09-07,2958.25
2150,2016-09-08,2960.9
2151,2016-09-09,2977.45
2152,2016-09-12,2905.55
2153,2016-09-14,2838.45
2154,2016-09-15,2873.5
2155,2016-09-16,2956.6
2156,2016-09-19,2909.35
2157,2016-09-20,2916.75
2158,2016-09-21,2926.6
2159,2016-09-22,2951.5
2160,2016-09-23,2946.5
2161,2016-09-26,2926.55
2162,2016-09-27,2948.55
2163,2016-09-28,2939.1
2164,2016-09-29,3024.7
2165,2016-09-30,2941.3
2166,2016-10-03,3000.65
2167,2016-10-04,3141.8
2168,2016-10-05,3098.4
2169,2016-10-06,3099.1
2170,2016-10-07,3065.6
2171,2016-10-10,3119.65
2172,2016-10-13,3127.1
2173,2016-10-14,3040.25
2174,2016-10-17,2974.65
2175,2016-10-18,2873.25
2176,2016-10-19,2933.6
